HuMAP3_ID,ComplexConfidence,Uniprot_ACCs,genenames
huMAP3_00000.1,1,Q9UGQ2 P20963 Q9NWV4,CACFD1 CD247 CZIB
huMAP3_00001.1,1,Q9NWB1 O94887 Q9NQ92,RBFOX1 FARP2 COPRS
huMAP3_00002.1,1,Q8N3D4 Q9Y3A4,EHBP1L1 RRP7A
huMAP3_00003.1,1,Q5T2D2 O00429,TREML2 DNM1L
huMAP3_00004.1,1,Q9H9C1 Q9H267 O95460 P21941 P78540,VIPAS39 VPS33B MATN4 MATN1 ARG2
huMAP3_00005.1,1,P18065 P01344,IGFBP2 IGF2
huMAP3_00006.1,1,Q13387 Q14679,MAPK8IP2 TTLL4
huMAP3_00007.1,1,Q13387 Q9UQF2 P31273 Q14679,MAPK8IP2 MAPK8IP1 HOXC8 TTLL4
huMAP3_00008.1,1,O15090 Q92618 Q13363 Q8N3X6 O60315,ZNF536 ZNF516 CTBP1 LCORL ZEB2
huMAP3_00009.1,1,P12236 Q16651,SLC25A6 PRSS8
huMAP3_00010.1,1,P20823 P35680 P61457 Q9H0N5,HNF1A HNF1B PCBD1 PCBD2
huMAP3_00011.1,1,Q99759 P00519,MAP3K3 ABL1
huMAP3_00012.1,1,Q3SYB3 O60548 Q75N90,FOXD4L6 FOXD2 FBN3
huMAP3_00013.1,1,Q9BTL3 Q9UPZ9,RAMAC CILK1
huMAP3_00014.1,1,A6NER0 Q6ZSB9 O14492 Q86YR5 Q9BRX9 Q9H426 Q9UKY1,TBC1D3F ZBTB49 SH2B2 GPSM1 WDR83 RIMS4 ZHX1
huMAP3_00015.1,1,Q8WVB6 P0CG13 Q9BVC3,CHTF18 CHTF8 DSCC1
huMAP3_00016.1,1,Q15120 Q16654,PDK3 PDK4
huMAP3_00017.1,1,Q8WV15 P57723 Q08752,TMEM255B PCBP4 PPID
huMAP3_00018.1,1,P23284 Q92838,PPIB EDA
huMAP3_00019.1,1,Q8TDN4 Q9BTV7 Q12767 Q86YS7 O43427,CABLES1 CABLES2 TMEM94 C2CD5 FIBP
huMAP3_00020.1,1,Q96KQ4 Q99622 A6NKD9 A8MZ97 O75864 Q15834 O95405 P41236 P62136 P62140 Q02833 Q15435 Q96S65 Q9H788 Q9HCD6 Q9UPR0 Q9UQ13,PPP1R13B C12orf57 CCDC85C C2orf74 PPP1R37 CCDC85B ZFYVE9 PPP1R2 PPP1CA PPP1CB RASSF7 PPP1R7 CSRNP1 SH2D4A TANC2 PLCL2 SHOC2
huMAP3_00021.1,1,Q5T7V8 Q9ULU8 Q9Y4F3,GORAB CADPS MARF1
huMAP3_00022.1,1,P57055 Q0D2K3 Q5TAB7 Q04724 Q04725 Q04726 Q04727 Q08117 Q05925,RIPPLY3 RIPPLY1 RIPPLY2 TLE1 TLE2 TLE3 TLE4 TLE5 EN1
huMAP3_00023.1,1,Q9UJ04 O00273,TSPYL4 DFFA
huMAP3_00024.1,1,Q9H251 P08949,CDH23 NMB
huMAP3_00025.1,1,Q8WTX7 Q9UL19,CASTOR1 PLAAT4
huMAP3_00026.1,1,Q5VUB5 Q9Y5G3 Q8TAB3 Q9HCL0 Q9P2E7 Q9Y5E7 Q96JQ0 Q9HC56 P22223,FAM171A1 PCDHGB1 PCDH19 PCDH18 PCDH10 PCDHB2 DCHS1 PCDH9 CDH3
huMAP3_00027.1,1,Q9BV87 P02585 Q8TEA8,CNPPD1 TNNC2 DTD1
huMAP3_00028.1,1,P29275 O60487,ADORA2B MPZL2
huMAP3_00029.1,1,Q5VZ19 Q5SGD2,TDRD10 PPM1L
huMAP3_00030.1,1,Q53ET0 Q6UUV7 Q9Y6R0 O95208,CRTC2 CRTC3 NUMBL EPN2
huMAP3_00031.1,1,Q9BY77 Q9H1N7,POLDIP3 SLC35B3
huMAP3_00032.1,1,P03923 Q8IVU1 Q8WVN6 Q9UMR7 O75325 P11362 P21802 P22607 Q01973 Q9BX67,MT-ND6 IGDCC3 SECTM1 CLEC4A LRRN2 FGFR1 FGFR2 FGFR3 ROR1 JAM3
